년도,제목,본문,링크
2019,"작년 아파트 분양가, 매매가보다 비쌌다…15년 만에 역전","작년 아파트 분양가, 매매가보다 비쌌다…15년 만에 역전 | 연합뉴스 연합뉴스 본문 바로가기 메뉴 바로가기 국가기간뉴스 통신사 연합뉴스 최신기사 정치 정치 전체기사 대통령실/총리실 국회/정당 외교 국방 북한 경제 경제 전체기사 경제/정책 금융 부동산 취업/창업 소비자 마켓 + 마켓 + 전체기사 국내주식 해외주식 채권 펀드/ETF 글로벌시장 증권/운용사 리포트 공시 산업 산업 전체기사 산업/기업 전기전자 중화학 자동차 건설 에너지/자원 IT/과학 게임 유통/서비스 중기/벤처 바이오/헬스 농림축산 해양수산 사회 사회 전체기사 사건/사고 법원/검찰 교육 복지/노동 환경/기후변화 여성/아동 재외동포 다문화 전국 전국 전체기사 경기 인천 부산 울산 경남 대구/경북 광주/전남 전북 대전/충남/세종 충북 강원 제주 세계 세계 전체기사 특파원 미국/북미 중국 일본 아시아/호주 유럽 중남미 중동/아프리카 국제기구 PRNewswire/AsiaNet 문화 문화 전체기사 책/문학 만화/웹툰 종교 공연/전",https://www.yna.co.kr/view/AKR20250124068200003?input=1195m
2019,"""집값 폭락 멈추지 않는다""…잘 나가던 세종, 무슨 일","""집값 폭락 멈추지 않는다""…잘 나가던 세종, 무슨 일 실시간뉴스 法, 송영길 성매매 의혹 제기한 가세연에 ""1000만원 배상 책임"" 태진아 ""故 송대관, 라이브쇼 하기로 했는데…할 말 잃어"" 울컥 소방청 ""딥시크 접속 차단…현장 수집 민감정보 유출 우려"" 고려신용정보, 1억 규모 자사주 처분 결정 F&F, 작년 영업익 4507억…전년比 18%↓ 메디픽셀, 뇌혈관 3차원 분석 소프트웨어 ‘MP뉴로’ 식약처 인증 한빛레이저, 45억 규모 신규시설 투자 '대구 08년생 폭행' 영상 논란…교육청 ""파악 중"" 퀀타피아, 상폐 효력정지 가처분 기각 결정에 즉시항고 3040 남성 패션플랫폼 애슬러, 40억원 규모 시리즈A 투자 유치 구독 지면 My 초판 로그인 로그아웃 NAVER FACEBOOK TWITTER YOUTUBE RSS EMAIL 이데일리 이데일리 2025년 02월 07일 금요일 실시간뉴스 法, 송영길 성매매 의혹 제기한 가세연에 ""1000만원 배상 책임"" 태진아 ""故 송대관, 라이",http://www.edaily.co.kr/news/newspath.asp?newsid=01259526642067240
2019,"‘사 두면 오르는 시대’ 끝났나…아파트 분양가, 매매 시세 앞질렀다","‘사 두면 오르는 시대’ 끝났나…아파트 분양가, 매매 시세 앞질렀다 - 경향신문 전체 검색창 열기 검색창 닫기 경향신문 경제 공유하기 페이스북 공유하기 트위터 공유하기 카카오톡 공유하기 밴드 공유하기 네이버블로그 공유하기 URL복사 이메일로 공유하기 뉴스플리 댓글 ‘사 두면 오르는 시대’ 끝났나…아파트 분양가, 매매 시세 앞질렀다 읽음 닫기 검색 경향닷컴 홈으로 이동 전체 메뉴 최신기사 실시간 랭킹 기사 오피니언 사설 여적 기자메모 칼럼 만평 독자마당 정치 대통령실 국회·정당 국방·외교 북한·한반도 선거 정치 일반 경제 금융·재테크 산업 IT·가전 부동산 자동차 생활경제 취업·창업 경제 일반 사회 사건·사고 법원·검찰 교육·입시 노동 보건·복지 미디어 젠더 사회 일반 국제 미국·중남미 일본 중국·대만 유럽 아시아·호주 중동·아프리카 국제 일반 문화 책 연극·클래식 학술·문화재 종교 미술·건축 대중음악 영화 방송 문화 일반 스포츠 야구 축구 골프 농구·배구 스포츠종합 월드컵 올림픽·아",https://www.khan.co.kr/article/202501270600005
2019,대전 아파트 매매가 하락 여파… 전세가율 다시 '꿈틀',대전 아파트 매매가 하락 여파… 전세가율 다시 ‘꿈틀’ < 대전 < 기사본문 - 충청투데이 주요서비스 바로가기 본문 바로가기 매체정보 바로가기 로그인 바로가기 기사검색 바로가기 전체서비스 바로가기 상단영역 2025-02-07 17:14 (금) 전체메뉴 기사검색 기사검색 검색 닫기 정치·행정 경제 사회 문화 스포츠 사람들 오피니언 충투TV 로그인 회원가입 기사제보 지면보기 구독신청 본문영역 현재위치 홈 대전 대전 아파트 매매가 하락 여파… 전세가율 다시 ‘꿈틀’ 이전 기사보기 다음 기사보기 기자명 윤경식 기자 승인 2025년 02월 03일 16시 08분 온라인 2025년 02월 03일 월요일 SNS 기사보내기 페이스북(으)로 기사보내기 트위터(으)로 기사보내기 카카오스토리(으)로 기사보내기 카카오톡(으)로 기사보내기 URL복사(으)로 기사보내기 이메일(으)로 기사보내기 다른 공유 찾기 이 기사를 공유합니다 페이스북(으)로 기사보내기 트위터(으)로 기사보내기 카카오스토리(으)로 기사보내,https://www.cctoday.co.kr/news/articleView.html?idxno=2207297
2019,"2025년 집값 상승…입지 좋고, 혜택 많은 '고촌센트럴자이' 눈길","2025년 집값 상승…입지 좋고, 혜택 많은 ‘고촌센트럴자이’ 눈길 주요서비스 바로가기 본문 바로가기 매체정보 바로가기 로그인 바로가기 기사검색 바로가기 2025-02-07 17:20 (금) 로그인 회원가입 산업 재계·일반 자동차·항공 전기·전자·IT·게임 유통·물류·패션 식품·제약·의학·바이오 조선·중공업·화학 4차산업 경제·정책 경제일반 정치 정책 건설·부동산 건설 부동산 금융 은행 증권 카드 보험 제2금융 핀테크 사회·문화 사회 문화 건강 스포츠 연예 기타 글로벌 미주 동남아 유럽 중국 기타 일본 인도 중앙아시아 블록체인 암호화폐 블록체인 전국 전국 인천 경기 영남 호남 충청 강원 오피니언 칼럼 기자수첩 이슈 인사·부고·동정 교육&입시 진로 검색 기사검색 검색 전체메뉴 버튼 이전 기사보기 다음 기사보기 2025년 집값 상승…입지 좋고, 혜택 많은 ‘고촌센트럴자이’ 눈길 바로가기 복사하기 본문 글씨 줄이기 본문 글씨 키우기 스크롤 이동 상태바 2025년 집값 상승…입지 좋고, 혜",https://www.getnews.co.kr/news/articleView.html?idxno=805590
2019,"""강남 찐 부자들만 살아요""...강호동, 김희애의 이 아파트","""강남 찐 부자들만 살아요""...강호동, 김희애의 이 아파트 - 파이낸셜뉴스 파이낸셜뉴스> 전체메뉴 검색 구독신청 Family Site 금융·증권 금융 증권 부동산 정책 건설 철도·항공 ·선박 부동산 일반 산업·IT 산업 통신·방송 게임 인터넷 블록체인 의학·과학 경제 경제 일반 생활 경제 정치 대통령실 국회·정당 북한 외교·국방 사회 사건·사고 검찰·법원 행정·지자체 교육 전국 국제 국제 경제 국제 정치 국제 사회 라이프 연예 패션/뷰티 스포츠 푸드·리빙 레저·문화 오피니언 사설/칼럼 사외 칼럼 기획·연재 fn파인더 fn시리즈 핫이슈+ fnEdition 포토 뉴스레터 기자ON fntv 신문보기 fnSurvey 닫기 회사소개 광고문의 제휴문의 개인정보취급방침 저작권규약 이메일주소무단수집거부 구독신청 고충처리 검색 닫기 공유하기 공유 카카오톡 페이스북 트위터 네이버블로그 주소복사 부동산 부동산일반 ""강남 찐 부자들만 살아요""...강호동, 김희애의 이 아파트 전민경 기자 파이낸셜뉴스 입",http://www.fnnews.com/news/202501310929525126
2019,"""분양가가 더 싸다?"" 지난해 아파트 매매가격 15년만에 제쳐","""분양가가 더 싸다?"" 지난해 아파트 매매가격 15년만에 제쳐 - 아시아경제 본문 바로가기 bar_progress 아시아경제 사이트맵메뉴 열기 증권 경제 부동산 산업·IT 정치 사회 국제 문화·라이프 오피니언 Visual-News 실시간 뉴스 [유럽증시]장 초반 보합세…DAX 1.47%↑ 서울대 정시 합격자, 5명 중 1명 '삼수생'이었다 OCI ""적자 사업 과감히 청산할 것""…도쿠야마 합작사 투자 주체도 변경 미공개정보 이용 주식매수…경찰, 코스닥상장사 전 임원 압수수색 한국가스공사, 마셜제도 자회사에 2489억원 출자 ""합법 대리모라더니""…조지아 '난자농장' 감금 당한 태국 여성들 대통령실 ""대왕고래 실패 아니야…첫 시추서 성공 사례 거의 없어"" 한국항공우주, 지난해 영업이익 2407억원…전년比 2.8%↓ iM뱅크, 지난해 영업이익 4533억원…전년比 0.9%↓ 대구지방국세청, 단체 헌혈로 따뜻한 생명나눔 실천 부동산 ""분양가가 더 싸다?"" 지난해 아파트 매매가격 15년만에 제쳐",https://view.asiae.co.kr/article/2025012415102814878
2019,서울서 ‘9억 초과’ 아파트 거래 처음으로 50% 넘었다,서울서 ‘9억 초과’ 아파트 거래 처음으로 50% 넘었다,https://www.chosun.com/economy/real_estate/2025/01/26/DVJVCN7W6ZGSLONUX2CC3C76LU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2019,"지난해 아파트 분양가, 15년 만에 평균 매매가 역전","지난해 아파트 분양가, 15년 만에 평균 매매가 역전 × 로그인 회원가입 전체기사 실시간 랭킹 오피니언 수도권 경기남부 경기북부 인천 정치 대통령실 국회/정당 북한 행정 국방/외교 정치일반 사회 사건사고 교육 노동 언론 환경 인권/복지 식품/의료 지역 인물 사회일반 경제 금융 증권 산업/재계 중기/벤처 부동산 글로벌경제 생활경제 경제일반 생활/문화 건강정보 자동차/시승기 도로/교통 여행/레저 음식/맛집 패션/뷰티 공연/전시 책 종교 날씨 생활문화일반 IT/과학 모바일 인터넷/SNS 통신/뉴미디어 IT일반 보안/해킹 컴퓨터 게임/리뷰 과학일반 연예 연예일반 TV 영화 음악 스타 스포츠 스포츠일반 축구 해외축구 야구 해외야구 농구 배구 UFC 골프 세계 아시아/호주 미국/중남미 유럽 중동/아프리카 세계일반 포토 D-TV 착한선진화 제보하기 사진구매 모바일 버전 경제 금융 증권 산업/재계 중기/벤처 부동산 글로벌경제 생활경제 경제일반 공유하기 카카오톡 블로그 페이스북 X 주소복사 지난해 ",https://www.dailian.co.kr/news/view/1455917/?sc=Naver
2019,[박일한의 맥락읽기] 공급절벽이 온다는데 왜 집값은 힘이 없나,[박일한의 맥락읽기] 공급절벽이 온다는데 왜 집값은 힘이 없나 < 박일한의  맥락읽기 < 오피니언 < 기사본문 - 포인트데일리 주요서비스 바로가기 본문 바로가기 매체정보 바로가기 로그인 바로가기 기사검색 바로가기 전체서비스 바로가기 상단영역 Updated : 2025년 02월 07일 (금) 17:20 로그인 회원가입 모바일웹 산업 산업일반 IT·전자·통신 자동차·항공 철강·조선·중공업 정유·화학 에너지 게임 금융 금융일반 은행 증권 보험 카드 가상화폐 건설·부동산 건설 부동산 유통 유통 식품 제약·바이오 패션 뷰티 레저 스마트팜 농정뉴스 스마트농업 현장인터뷰 6차산업 축산 해외농업 지자체·정책 지역뉴스 정책·국회 뉴스종합 교육 교육 기획·특집 기획·특집 오피니언 칼럼 기고 기자수첩 인사·동정·부음 출·퇴근 포인트 출·퇴근 포인트 전체메뉴 버튼 검색 기사검색 검색 본문영역 이전 기사보기 다음 기사보기 [박일한의 맥락읽기] 공급절벽이 온다는데 왜 집값은 힘이 없나 바로가기 복사하기 본문,https://www.pointdaily.co.kr/news/articleView.html?idxno=232836
2019,부산 아파트 값 ‘역대 최장’ 135주째 하락,부산 아파트 값 ‘역대 최장’ 135주째 하락 - 부산일보 로그인 회원가입 지면보기 모바일보기 메뉴 펼치기 사회 사회 교육 환경 인권·복지 정치 정치 세계 경제해양 경제해양 해양수산 부동산 자동차 IT월드 문화 문화 문화 라이프 라이프 맛 헬스 여행 산&길 시리즈 스포츠 스포츠 롯데자이언츠 야구 해외야구 축구 해외축구 골프 오피니언 오피니언 사설 밀물썰물 논설위원의 시선 논설위원의 뉴스 요리 강병균 칼럼 이병철의 인사이트 곽명섭 칼럼 강윤경 칼럼 김승일의 곰곰 생각 김건수의 지금 여기 임광명의 정견만리 정달식의 일필일침 이호진의 디지털 광장 편집국에서 데스크칼럼 바른말 광 노트북 단상 기자 전문 칼럼 기자 일기 독자 광장 독자의 눈 기고 오늘을 여는 시 공감 월요 칼럼 화목 칼럼 수요 칼럼 금요 칼럼 시론 조희창의 클래식 내비게이터 이상훈의 시그니처 문화공간이야기 경남울산 경남울산 울산 동부경남 중부경남 서부경남 사람들 사람들 인사 부고 펫플스토리 펫플스토리 전체보기 펫콘테스트 펫에,https://www.busan.com/view/busan/view.php?code=2025012618252303952
2019,'부동산 양극화 심화' 50억 이상 초고가 아파트 매매 1.6배 늘었다,"'부동산 양극화 심화' 50억 이상 초고가 아파트 매매 1.6배 늘었다 | 비즈한국 주메뉴바로가기 본문바로가기 이슈 비즈 머니 피플 글로벌 아젠다 덕후 엔터 라이프 캠페인 Target@Biz Story↑Up 밀덕텔링 유시혁 기자 아빠랑 단독 부동산 사이언스 지웅배 전다현 부동산 인사이트 Target@Biz 이슈 비즈 머니 피플 글로벌 아젠다 Story↑Up 덕후 엔터 라이프 캠페인 HOME > Target@Biz > 머니 '부동산 양극화 심화' 50억 이상 초고가 아파트 매매 1.6배 늘었다 지난해 총 406호 거래돼 전년 대비 253호 증가…나인원한남 '220억 원' 최고가 경신 2025.01.31(Fri) 15:37:18 글자 작게 글자 크게 프린트 [비즈한국] 부동산 경기 침체가 장기화하는 가운데, 지난해 우리나라 초고가 아파트 매매가 전년 대비 1.6배가량 증가한 것으로 확인됐다. 2023년까지만 해도 100억 원대에 머물렀던 아파트 최고 가격은 지난해 200억 원을 넘어서며",https://www.bizhankook.com/bk/article/28995
2019,"""시세차익 보장""···부동산 한파에 '강남3구'로 수요 몰린다",“시세차익 보장”···부동산 한파에 ‘강남3구’로 수요 몰린다 < 헤드라인톱 < 건설·부동산 < 부동산 < 기사본문 - 이뉴스투데이 주요서비스 바로가기 본문 바로가기 매체정보 바로가기 로그인 바로가기 기사검색 바로가기 전체서비스 바로가기 편 집 . 2025-02-07 17:03 ( 금 ) twitter facebook post youtube rss 구독 모바일웹 독서신문·readersnews 이뉴스TV 에이원뉴스 행사·이벤트 PDF 지면보기 전체뉴스 금융·증권 부동산 산업 IT과학 생활경제 정치·사회 전국 오피니언 전체메뉴 버튼 검색버튼 기사검색 검색 이전 기사보기 다음 기사보기 “시세차익 보장”···부동산 한파에 ‘강남3구’로 수요 몰린다 바로가기 복사하기 본문 글씨 줄이기 본문 글씨 키우기 스크롤 이동 상태바 헤드라인톱 “시세차익 보장”···부동산 한파에 ‘강남3구’로 수요 몰린다 대출규제·공급가뭄 우려에 안전자산 선호심리 커져 강남·서초·송파구 아파트 매매·청약 수요 증가 추세,http://www.enewstoday.co.kr/news/articleView.html?idxno=2230502
2019,"강남 덕에 서울 집값 버텼지만…""열흘 만에 2억 증발"" 14개구 비명","강남 덕에 서울 집값 버텼지만…""열흘 만에 2억 증발"" 14개구 비명 - 머니투데이 본문영역 바로가기 로그인 머니투데이 전체 뉴스 경제정책 증권 정치 부동산 국제경제 사회 산업 IT 금융 벤처·스타트업 블록체인 문화 포토 포토 더차트 더그래픽 영상 MT 영상 더영상 전체기사 증권 뉴스 시세/공시 코스피 코스닥 코넥스 상승/하락 상하한가 시가총액 거래량상위 신규상장 주요공시 포인트&전략 펀드 펀드IR 국내펀드 해외펀드 유형종합 종목대해부 베스트리포트 MY스톡 정치 법률 유니콘팩토리 헬스·바이오 최신기사 칼럼 데스크칼럼 사내칼럼 현장리포트 사외칼럼 SUCCESS 연예 연예 스포츠 이슈 핫이슈 전체핫이슈 이슈키워드 뉴스 속 오늘 연중기획 실시간급상승 베스트클릭 사람& 피플 MT초대석 인터뷰 대표선배 인사 부고 MT리포트 뉴스 경제정책 증권 정치 부동산 국제경제 사회 산업 IT 금융 벤처·스타트업 블록체인 문화 포토 영상 전체기사 증권 뉴스 시세/공시 포인트&전략 펀드 종목대해부 베스트리포",http://news.mt.co.kr/mtview.php?no=2025012310273447786
2019,“조경비용 늘면 철근서 빼…‘쪽대본 드라마’ 찍듯 아파트 지어”[히...,“조경비용 늘면 철근서 빼…‘쪽대본 드라마’ 찍듯 아파트 지어”[히어로콘텐츠/누락④-하]｜동아일보 본문으로 바로가기 검색창 닫기 궁금하신 [ 송대관 대왕고래 프로젝트 이재용 달걀 섭취 국민가수 더불어민주당 이재명 12·3 비상계엄 윤대통령 고민정 러시아 무인 해상초계기 대왕고래 동해 심해 석유·가스전 개발 사업 보수 손흥민 경찰청 중국 아동학대 필름 기술자 오늘의 운세 김정숙 분당소방서 ] 키워드를 검색해 보세요. 추천 검색어는 많이 본 뉴스 기사의 키워드를 수집하여 선정하였습니다. 검색 지우기 동아일보 오피니언 정치 경제 국제 사회 문화 연예 스포츠 헬스동아 트렌드뉴스 통합검색 언어선택 방문하고자 하는 언어의 홈페이지를 선택하세요. 한국어 English 中文(簡体) 日本語 마이페이지 전체메뉴 펼치기 오피니언 사설 오늘과 내일 횡설수설 동아광장 동아시론 광화문에서 현장에서 POLL 정치 최신기사 대통령실 국회정당 북한 외교안보 행정자치 경제 최신기사 기업 CEO 부동산 금융 IT 자,https://www.donga.com/news/Society/article/all/20250126/130935401/1
